Time_day,Conc_ngmL,Dose,Type
0,18220.78,0.6 mg/kg,total_ADC
1,12467.46,0.6 mg/kg,total_ADC
2,9622.25,0.6 mg/kg,total_ADC
7,3910.54,0.6 mg/kg,total_ADC
10,1002.09,0.6 mg/kg,total_ADC
14,106.75,0.6 mg/kg,total_ADC
16,47.47,0.6 mg/kg,total_ADC
0,12273.72,0.6 mg/kg,total_ADC
0,10697.33,0.6 mg/kg,total_ADC
0,9162.5,0.6 mg/kg,total_ADC
1,7446.03,0.6 mg/kg,total_ADC
1,6716.97,0.6 mg/kg,total_ADC
2,5183.79,0.6 mg/kg,total_ADC
7,426.17,0.6 mg/kg,total_ADC
7,141.9,0.6 mg/kg,total_ADC
10,47.87,0.6 mg/kg,total_ADC
14,48.43,0.6 mg/kg,total_ADC
0,26587.08,1.2 mg/kg,total_ADC
1,32079,1.2 mg/kg,total_ADC
1,25654.18,1.2 mg/kg,total_ADC
2,26067.96,1.2 mg/kg,total_ADC
2,20145.04,1.2 mg/kg,total_ADC
7,10414.27,1.2 mg/kg,total_ADC
7,6114.17,1.2 mg/kg,total_ADC
7,11948.95,1.2 mg/kg,total_ADC
10,6300.91,1.2 mg/kg,total_ADC
10,3894.71,1.2 mg/kg,total_ADC
14,3554.38,1.2 mg/kg,total_ADC
14,2435.63,1.2 mg/kg,total_ADC
14,1049.35,1.2 mg/kg,total_ADC
16,2190.73,1.2 mg/kg,total_ADC
16,1942.56,1.2 mg/kg,total_ADC
16,238.75,1.2 mg/kg,total_ADC
21,109.44,1.2 mg/kg,total_ADC
21,47.96,1.2 mg/kg,total_ADC
21,47.96,1.2 mg/kg,total_ADC
21,50.51,1.2 mg/kg,total_ADC
0,59632.91,2.4 mg/kg,total_ADC
0,49362.53,2.4 mg/kg,total_ADC
0,36228.16,2.4 mg/kg,total_ADC
1,51019.41,2.4 mg/kg,total_ADC
1,39429.47,2.4 mg/kg,total_ADC
1,21240.64,2.4 mg/kg,total_ADC
2,38043.82,2.4 mg/kg,total_ADC
3,32592.73,2.4 mg/kg,total_ADC
3,15041.94,2.4 mg/kg,total_ADC
7,18360.92,2.4 mg/kg,total_ADC
7,13476.21,2.4 mg/kg,total_ADC
7,4806.31,2.4 mg/kg,total_ADC
10,13889.36,2.4 mg/kg,total_ADC
10,7878.01,2.4 mg/kg,total_ADC
10,2907.95,2.4 mg/kg,total_ADC
14,4842.46,2.4 mg/kg,total_ADC
14,2699.84,2.4 mg/kg,total_ADC
14,659.83,2.4 mg/kg,total_ADC
16,2692.55,2.4 mg/kg,total_ADC
16,1064.65,2.4 mg/kg,total_ADC
16,308.94,2.4 mg/kg,total_ADC
21,47.96,2.4 mg/kg,total_ADC
21,48.8,2.4 mg/kg,total_ADC
0,93241.95,4.0 mg/kg,total_ADC
0,79886.33,4.0 mg/kg,total_ADC
0,73268.08,4.0 mg/kg,total_ADC
1,63782.31,4.0 mg/kg,total_ADC
1,79746.93,4.0 mg/kg,total_ADC
2,67073.31,4.0 mg/kg,total_ADC
2,55524.62,4.0 mg/kg,total_ADC
7,38435.91,4.0 mg/kg,total_ADC
7,35271.52,4.0 mg/kg,total_ADC
7,31816.22,4.0 mg/kg,total_ADC
10,27619.17,4.0 mg/kg,total_ADC
10,24071.87,4.0 mg/kg,total_ADC
14,21968.43,4.0 mg/kg,total_ADC
16,23873.34,4.0 mg/kg,total_ADC
16,19094.11,4.0 mg/kg,total_ADC
16,13310.21,4.0 mg/kg,total_ADC
21,12554.16,4.0 mg/kg,total_ADC
21,13447.39,4.0 mg/kg,total_ADC
21,6206.14,4.0 mg/kg,total_ADC
0,122733.73,6.0 mg/kg,total_ADC
0,105136.04,6.0 mg/kg,total_ADC
1,112464.33,6.0 mg/kg,total_ADC
1,89944.91,6.0 mg/kg,total_ADC
2,91385.32,6.0 mg/kg,total_ADC
7,50604.32,6.0 mg/kg,total_ADC
7,44871.84,6.0 mg/kg,total_ADC
10,50393.79,6.0 mg/kg,total_ADC
14,36785.52,6.0 mg/kg,total_ADC
14,25642.62,6.0 mg/kg,total_ADC
16,37964.59,6.0 mg/kg,total_ADC
21,23709.81,6.0 mg/kg,total_ADC
21,16246.17,6.0 mg/kg,total_ADC