time_day,conc_ugmL,Drug,Dose
0,255.59,Dato-Dxd,6 mg/kg
0,155.76,Dato-Dxd,6 mg/kg
0,83.32,Dato-Dxd,6 mg/kg
7,64.2,Dato-Dxd,6 mg/kg
7,43.42,Dato-Dxd,6 mg/kg
7,28.62,Dato-Dxd,6 mg/kg
7,20.39,Dato-Dxd,6 mg/kg
7,12.75,Dato-Dxd,6 mg/kg
14,30.94,Dato-Dxd,6 mg/kg
14,22.05,Dato-Dxd,6 mg/kg
14,15.31,Dato-Dxd,6 mg/kg
14,11.49,Dato-Dxd,6 mg/kg
14,8.63,Dato-Dxd,6 mg/kg
14,0.97,Dato-Dxd,6 mg/kg
21.17,0.56,Dato-Dxd,6 mg/kg
21,0.25,Dato-Dxd,6 mg/kg
21,1.9,Dato-Dxd,6 mg/kg
21,2.89,Dato-Dxd,6 mg/kg
21,3.85,Dato-Dxd,6 mg/kg
21,4.99,Dato-Dxd,6 mg/kg
21,6.15,Dato-Dxd,6 mg/kg
21,7.57,Dato-Dxd,6 mg/kg
21,9.33,Dato-Dxd,6 mg/kg
21,12.75,Dato-Dxd,6 mg/kg
21,16.55,Dato-Dxd,6 mg/kg